DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
75X012,<NA>,<NA>,<NA>,<NA>,<NA>
75X168,<NA>,<NA>,<NA>,C,<NA>
75X176,<NA>,<NA>,<NA>,<NA>,<NA>
75X186,<NA>,<NA>,<NA>,B,<NA>
75X188,<NA>,<NA>,<NA>,B,<NA>
75X721,<NA>,<NA>,<NA>,<NA>,<NA>
75X723,<NA>,<NA>,<NA>,B,<NA>
75X754,<NA>,<NA>,<NA>,<NA>,<NA>
75X811,<NA>,<NA>,<NA>,<NA>,<NA>
79K755,<NA>,<NA>,<NA>,<NA>,<NA>
79M645,<NA>,<NA>,<NA>,<NA>,<NA>
84K356,<NA>,<NA>,<NA>,A,<NA>
84K357,<NA>,<NA>,<NA>,A,<NA>
84K358,<NA>,<NA>,<NA>,B,<NA>
84K359,<NA>,<NA>,<NA>,D,<NA>
84K359,<NA>,<NA>,<NA>,,<NA>
84K473,<NA>,<NA>,<NA>,B,<NA>
84K508,<NA>,<NA>,<NA>,A,<NA>
84K538,<NA>,<NA>,<NA>,A,<NA>
84K608,<NA>,<NA>,<NA>,B,<NA>
84K626,<NA>,<NA>,<NA>,A,<NA>
84K648,<NA>,<NA>,<NA>,A,<NA>
84K652,<NA>,<NA>,<NA>,A,<NA>
84M279,<NA>,<NA>,<NA>,,<NA>
84M279,<NA>,<NA>,<NA>,C,<NA>
84M284,<NA>,<NA>,<NA>,B,<NA>
84M284,<NA>,<NA>,<NA>,A,<NA>
84M335,<NA>,<NA>,<NA>,B,<NA>
84M336,<NA>,<NA>,<NA>,A,<NA>
84M350,<NA>,<NA>,<NA>,,<NA>
84M350,<NA>,<NA>,<NA>,A,<NA>
84M351,<NA>,<NA>,<NA>,A,<NA>
84M353,<NA>,<NA>,<NA>,B,<NA>
84M353,<NA>,<NA>,<NA>,A,<NA>
84M483,<NA>,<NA>,<NA>,C,<NA>
84M522,<NA>,<NA>,<NA>,,<NA>
84M709,<NA>,<NA>,<NA>,A,<NA>
84M726,<NA>,<NA>,<NA>,B,<NA>
84Q705,<NA>,<NA>,<NA>,B,<NA>
84Q705,<NA>,<NA>,<NA>,B,<NA>
84X345,<NA>,<NA>,<NA>,D,<NA>
84X345,<NA>,<NA>,<NA>,,<NA>
84X347,<NA>,<NA>,<NA>,A,<NA>
84X393,<NA>,<NA>,<NA>,A,<NA>
84X395,<NA>,<NA>,<NA>,B,<NA>
84X539,<NA>,<NA>,<NA>,,<NA>
84X553,<NA>,<NA>,<NA>,,<NA>
84X703,<NA>,<NA>,<NA>,D,<NA>
